#_	_
button.back	Back
settings.gameplay.title	Gameplay
settings.video.resolution	Resolution
tutorial.advanced.separator	Advanced Tutorials
button.newtag	NEW
gameoptions.timer.slow	Async
gameoptions.timer.fast	Live
multiplayer.globalchat	Global Chat
button.account	Account
login.title.change.user	Change User
changepassword.title	Change Password
login.logoutbutton	Log Out
friends.removefreind	Remove Friend
friends.addfriend	Add Friend
friends.invitefriends.button	Invite Friend
friends.invitefriends.send	Send
singleplayer.header.label	Challenges
button.no	No
button.yes	Yes
prompt.continuesaved.desc	You have a saved game in progress. Would you like to continue that game or delete it and start a new one?
prompt.continuesaved.title	Continue Game
prompt.continuesaved.buttonnewgame	New Game
button.continue	Continue
login.title.create.account	Create Account
login.email	Email
createaccount.screenname	Screen Name
login.password	Password
createaccount.reenterpassword	Re-enter Password
button.cancel	Cancel
button.close	Close
direbytes.header	Dire Wolf News
direbytes.none	No Direwolf News
direbytes.link	Link
direbytes.store	Store
button.commit	Commit
button.submit	Submit
settings.feedback	Feedback
settings.feedback.email.placeholder	Email
settings.feedback.placeholder	Enter issue here. Please include your game mode when applicable.
settings.feedback.send	Send
settings.feedback.sendlogs	Send Logs
login.forgotpassword	Forgot Password
login.forgotpassword.reset	Reset
friends.title	Friends
playonline.optionheader.password	Password
savedgames.joingame	Join Game
button.ok	Ok
button.tutorial	Tutorial
mainmenu.localplay	Local Play
mainmenu.onlineplay	Online Play
button.shop	Shop
button.quit	Quit Game
mainmenu.leaderboards	Leaderboards
leaderboards.friendsonly	Friends Only
prompt.leaderboard.score.label	Score
prompt.leaderboard.rank.label	Rank
prompt.leaderboard.name.label	Name
login.title.log.in	Log In
settings.login	Log In
login.create.account	Create Account
changepassword.oldpassword	Old Password
changepassword.newpassword	New Password
multiplayer.gotogame	Go to Game
multiplayer.playonline	Online Play
multiplayer.showpasswordgames	Show Password Games
multiplayer.activetab	Active
lobby.nogames.label	No Games
multiplayer.browsertab	Browser
multiplayer.columntimer	Timer
multiplayer.columnname	Name
multiplayer.columnbanned	Banned
multiplayer.columnplayers	Players
gameoptions.creategame	Create Game
gameoptions.startgame	Start Game
gameoptions.joingame	Join Game
button.rules	Rules
settings.gen.title	General
settings.video.title	Video
settings.audio.title	Audio
settings.pc.windowed	Windowed
settings.pc.vsync	VSync
settings.video.quality	Quality
settings.audio.musicvolume	Music Volume
settings.audio.effectsvolume	Effects Volume
settings.languages	Languages
settings.eula	EULA
solooptions.singleplayer	Challenges
solooptions.play	Solo Play
multiplayer.passandplay	Pass and Play
appirater.header	Rate the App
appirater.body	Enjoying Root?  Please, take a moment to rate it.
appirater.ratebutton	Rate the App
appirater.remindbutton	Remind me Later
appirater.rejectbutton	No Thanks
playonline.confirmresign	Are you sure you want to resign from this match?
settings.pc.confirmation.body	Do you want to keep these display settings? Reverting to previous settings in {0} seconds.
friends.category.invites	Invites
friends.category.online	Online
friends.category.offline	Offline
friends.category.count.label	({0})
store.restorepurchaseserror.default	
dialogmessages.resetpassword.info	Check your email for further instructions.
lobby.timerdisplay.hoursformat	{0}h
lobby.timerdisplay.minsformat	{0}m
lobby.timerdisplay.daysformat	{0}d
playonline.cpuplayer.label	AI
playonline.waitingplayer.label	<color=#858585>Waiting for player</color>
playonline.joinedplayer.label	<color=#FFFF00>{0}</color>
playonline.availablegames.game	{0}'s Game
waitingforplayers.timer.label	Turn time limit: {0}
waitingforplayers.aidifficulty.label	AI Difficulty: {0}
gameoptions.aidifficultyeasy	Easy
gameoptions.aidifficultymedium	Medium
gameoptions.aidifficultyhard	Hard
waitingforplayers.invalideplayerstate	An error occurred. Please try again.
dialogmessages.lobbyended.message	The lobby you were viewing no longer exists.
playsolo.match.startfailure	Could not load game.
prompts.gameresults.title	End of Game
dialogmessages.feedback.success	Thank you for the feedback.
prompttitles.generic.success	Success
singleplayer.difficulty.label	Difficulty: {0}
singleplayer.difficulty.easy	Normal
singleplayer.difficulty.medium	Heroic
singleplayer.difficulty.hard	
quitapplication.confirm.message	Are you sure you want to quit?
login.loggedinas	Logged in as: {0}
friends.invitationsent	Invitation Sent!
friends.areyousure	Are you sure?
dialogmessages.invitefriend.success	Invitation sent!
login.error.invalidemail	Error: Invalid Email
login.error.invalidusername	Error: Invalid Username
login.error.invalidpassword	Error: Password must be at least 6 characters and contain both letters and numbers.
login.error.passwordmismatch	Error: Passwords do not match
prompts.loginfailure.nocredentials	
prompts.loginfailure.eulanotaccepted	Please accept EULA to log in.
dialogmessages.login.errors.upgradeclient	Unable to log in, please make sure your client is up to date
dialogmessages.login.errors.couldnotconnect	Could not connect to authorization server, please try again later.
dialogmessages.login.errors.gatewaydown	Could not connect to gateway.
dialogmessages.login.errors.ipbanned	Could not connect from this IP.
dialogmessages.login.errors.maintenance	Could not connect, server is in maintenance.
dialogmessages.login.errors.serverfull	Could not connect, servers are full at this time.
network.checkconnection	Check your network connection.
dialogmessages.login.errors.default	Could not log in at this time.
dialogmessages.registration.thanksnewaccount	Thank you for registering!
dialogmessages.registration.toomanyrequests	Too many requests, please try again in 15 minutes.
dialogmessages.registration.authunavailable	Could not connect to authorization server, please try again later.
dialogmessages.registration.failure	Could not create account:
 {0}
code.redeem.equip.immediate	
dialogmessages.continuegame.playeractivationfailure	
match.start.failure	Match failed to load
multiplayer.matchremoved	This match no longer exists.
multiplayer.matchresigned.2	You've been resigned from your match with {0}.
multiplayer.matchresigned.3	You've been resigned from your match with {0} and {1}.
multiplayer.matchresigned.4	You've been resigned from your match with {0}, {1}, and {2}.
multiplayer.matchresigned.5	You've been resigned from your match with {0}, {1}, {2}, and {3}.
multiplayer.matchresigned.6	You've been resigned from your match with {0}, {1}, {2}, {3}, and {4}.
dialogmessages.resignfromgame.failure	Unable to resign from game. Check your network connection.
rankedselect.errors.connectfailed	Your connection has timed out. Please check your internet connection and try again.
dialogmessages.feedback.timeout	There was an error sending your feedback.
dialogmessages.leaderboard.failure	Couldn't retrieve Scoreboard at this time.
dialogmessages.addfriend.accountnotfound	Error sending friend invitation: Account Not Found.
dialogmessages.addfriend.invitefailure	Error sending friend invitation.
dialogmessages.acceptfriend.failure	Error accepting friend invitation.
dialogmessages.cancelfriendrequest.failure	Error cancelling friend request.
dialogmessages.removefriend.failure	Error removing friend.
dialogmessages.invitefriend.failure	Could not send invitation, please try again later.
disconnect.timeout	Connection Timed Out
disconnect.idletimeout	You were disconnected due to inactivity. Players who go three action windows without responding will be removed from the game and replaced with an AI.
dialogmessages.changepassword.success	Successfully Changed Your Password.
dialogmessages.passwordpolicy	Your password must be at least 6 characters, have a capitalized letter, and contain both letters and numbers.
dialogmessages.login.errors.invalidlogin	Invalid email or password.
dialogmessages.continuegame.failure	Couldn't connect to game. Error: {0}
disconnect.defaultreason	Lost Connection to the server
challenges.startgame	Start Game
addfriend.addplayername	Player Name or Email
button.accept	Accept
button.invite	Invite
online.lobbypassword.enter	Enter Lobby Password
button.exit	Exit
settings.audio.mute	Mute
header.campaign	Campaign
game.over.prompt.confirm	Leave Game
settings.pc.graphics.high	High
settings.pc.graphics.medium	Medium
settings.pc.graphics.low	Low
account.error.usernametaken	Account already exists
mainmenu.friends	Friends
settings.title	Settings
friends.invite	Invite
friends.removefriend	Remove Friend
friends.game.invite.accept	Accept
friends.game.invite.decline	Decline
friends.cancelrequest	Cancel
button.next	Next
landing.grm	Open Dire Wolf Game Room App
settings.clientversion	Client Version:
settings.serverversion	Server Version:
button.saveandquit	Save and Exit
settings.resign	Resign
landing.achievements.gc	Achievements
button.mainmenu	Main Menu
button.replay	Replay
button.resign	Resign
lobby.resign.confirmation	Are you sure you want to resign from this match?
