#_	_
button.back	Retour
settings.gameplay.title	Jouabilité
settings.video.resolution	Résolution
tutorial.advanced.separator	Advanced Tutorials
button.newtag	NOUVEAU
gameoptions.timer.slow	Relax
gameoptions.timer.fast	Direct
multiplayer.globalchat	Chat global
button.account	Compte
login.title.change.user	Changer d'utilisateur
changepassword.title	Changer le mot de passe
login.logoutbutton	Déconnexion
friends.removefreind	
friends.addfriend	Ajouter Un Ami
friends.invitefriends.button	
friends.invitefriends.send	Envoyer
singleplayer.header.label	Défis
button.no	Non
button.yes	Oui
prompt.continuesaved.desc	Vous avez une partie en cours sauvegardée Voulez-vous poursuivre cette partie ou la supprimer et en commencer une nouvelle ?
prompt.continuesaved.title	Continuer la partie
prompt.continuesaved.buttonnewgame	Nouvelle partie
button.continue	Continuer
login.title.create.account	Créer un compte
login.email	E-mail
createaccount.screenname	Nom à l'écran
login.password	Mot de passe
createaccount.reenterpassword	Resaisir le mot de passe
button.cancel	Annuler
button.close	Fermer
direbytes.header	Actualités de Dire Wolf
direbytes.none	Pas d'actualités de Direwolf
direbytes.link	Lien
direbytes.store	Boutique
button.commit	
button.submit	Envoyer
settings.feedback	Avis
settings.feedback.email.placeholder	E-mail
settings.feedback.placeholder	Saisir le problème ici. Veuillez inclure votre faction et le mode de jeu le cas échéant.
settings.feedback.send	Envoyer
settings.feedback.sendlogs	Envoyer les journaux d'événements
login.forgotpassword	Mot De Passe Oublié
login.forgotpassword.reset	Réinitialiser
friends.title	Amis
playonline.optionheader.password	Mot de passe
savedgames.joingame	Rejoindre une partie
button.ok	O.K.
button.tutorial	Tutoriel
mainmenu.localplay	Partie locale
mainmenu.onlineplay	Partie en ligne
button.shop	Boutique
button.quit	Quitter le jeu
mainmenu.leaderboards	Classements
leaderboards.friendsonly	Amis uniquement
prompt.leaderboard.score.label	
prompt.leaderboard.rank.label	Classement
prompt.leaderboard.name.label	Nom
login.title.log.in	Connexion
settings.login	Connexion
login.create.account	Créer un compte
changepassword.oldpassword	Ancien mot de passe
changepassword.newpassword	Nouveau mot de passe
multiplayer.gotogame	Aller à la partie
multiplayer.playonline	Jouer En Ligne
multiplayer.showpasswordgames	Show Password Games
multiplayer.activetab	Actif
lobby.nogames.label	Aucune partie
multiplayer.browsertab	Navigateur
multiplayer.columntimer	Chrono
multiplayer.columnname	Nom
multiplayer.columnbanned	Banni
multiplayer.columnplayers	Joueurs
gameoptions.creategame	Créer Une Partie
gameoptions.startgame	Commencer la partie
gameoptions.joingame	Rejoindre une partie
button.rules	Règles
settings.gen.title	Réglages
settings.video.title	Vidéo
settings.audio.title	Audio
settings.pc.windowed	Fenêtré
settings.pc.vsync	Synchronisation verticale
settings.video.quality	Qualité
settings.audio.musicvolume	Volume de la musique
settings.audio.effectsvolume	Volume des effets
settings.languages	Langues
settings.eula	CLUF
solooptions.singleplayer	Campagne
solooptions.play	Contre L'ia
multiplayer.passandplay	Passer et Jouer
appirater.header	Évaluer l'application
appirater.body	Root vous plaît ? N'hésitez pas à nous donner votre avis.
appirater.ratebutton	Évaluer l'application
appirater.remindbutton	Me le rappeler plus tard
appirater.rejectbutton	Non, merci
playonline.confirmresign	Voulez-vous vraiment abandonner cette partie ?
settings.pc.confirmation.body	Voulez-vous conserver ces paramètres d'affichage ? Les paramètres précédents seront restaurés dans {0} secondes.
friends.category.invites	Invitations
friends.category.online	En ligne
friends.category.offline	Hors ligne
friends.category.count.label	({0})
store.restorepurchaseserror.default	
dialogmessages.resetpassword.info	Consultez votre messagerie pour plus d'informations.
lobby.timerdisplay.hoursformat	{0} h
lobby.timerdisplay.minsformat	{0} min
lobby.timerdisplay.daysformat	{0} j
playonline.cpuplayer.label	IA
playonline.waitingplayer.label	<color=#858585>En attente du joueur</color>
playonline.joinedplayer.label	<color=#FFFF00>{0}</color>
playonline.availablegames.game	Partie de {0}
waitingforplayers.timer.label	Durée maximale des tours : {0}
waitingforplayers.aidifficulty.label	Difficulté IA : {0}
gameoptions.aidifficultyeasy	Facile
gameoptions.aidifficultymedium	Moyen
gameoptions.aidifficultyhard	Difficile
waitingforplayers.invalideplayerstate	Une erreur s'est produite. Veuillez réessayer.
dialogmessages.lobbyended.message	Le salon que vous observiez n'existe plus.
playsolo.match.startfailure	Impossible de charger la partie.
prompts.gameresults.title	Partie perdue
dialogmessages.feedback.success	Merci d'avoir partagé vos réactions.
prompttitles.generic.success	Succès
singleplayer.difficulty.label	Difficulté : {0}
singleplayer.difficulty.easy	
singleplayer.difficulty.medium	
singleplayer.difficulty.hard	
quitapplication.confirm.message	Voulez-vous vraiment quitter ?
login.loggedinas	Connexion en tant que : {0}
friends.invitationsent	Invitation envoyée !
friends.areyousure	Vous êtes sûr ?
dialogmessages.invitefriend.success	Invitation envoyée !
login.error.invalidemail	Erreur : e-mail non valide
login.error.invalidusername	Erreur : nom d'utilisateur non valide
login.error.invalidpassword	Erreur : le mot de passe doit comporter au moins 6 caractères et des lettres et des chiffres.
login.error.passwordmismatch	Erreur : les mots de passe ne correspondent pas
prompts.loginfailure.nocredentials	
prompts.loginfailure.eulanotaccepted	Veuillez accepter le CLUF avant de vous connecter.
dialogmessages.login.errors.upgradeclient	Impossible de se connecter, veuillez vous assurer que votre client est à jour.
dialogmessages.login.errors.couldnotconnect	Impossible de se connecter au serveur d'autorisation. Veuillez réessayer plus tard.
dialogmessages.login.errors.gatewaydown	Impossible de se connecter à la passerelle.
dialogmessages.login.errors.ipbanned	Impossible de se connecter depuis cette adresse IP.
dialogmessages.login.errors.maintenance	Impossible de se connecter. Serveur en maintenance.
dialogmessages.login.errors.serverfull	Impossible de se connecter. Serveurs au complet pour le moment.
network.checkconnection	Vérifiez votre connexion à Internet.
dialogmessages.login.errors.default	Impossible de se connecter pour le moment.
dialogmessages.registration.thanksnewaccount	Merci pour votre inscription !
dialogmessages.registration.toomanyrequests	Demandes trop nombreuses. Veuillez réessayer dans 15 minutes.
dialogmessages.registration.authunavailable	Impossible de se connecter au serveur d'autorisation. Veuillez réessayer plus tard.
dialogmessages.registration.failure	Impossible de créer un compte :
 {0}
code.redeem.equip.immediate	
dialogmessages.continuegame.playeractivationfailure	
match.start.failure	Échec du chargement du match
multiplayer.matchremoved	Ce match n'existe plus.
multiplayer.matchresigned.2	Vous avez abandonné le match avec {0}.
multiplayer.matchresigned.3	Vous avez abandonné le match avec {0} et {1}.
multiplayer.matchresigned.4	Vous avez abandonné le match avec {0}, {1} et {2}.
multiplayer.matchresigned.5	
multiplayer.matchresigned.6	
dialogmessages.resignfromgame.failure	Impossible d'abandonner. Vérifiez votre connexion à Internet.
rankedselect.errors.connectfailed	Votre connexion a expiré. Veuillez vérifier votre connexion Internet et réessayer.
dialogmessages.feedback.timeout	Une erreur s'est produite pendant l'envoi des réactions.
dialogmessages.leaderboard.failure	Impossible de récupérer le tableau des scores pour le moment.
dialogmessages.addfriend.accountnotfound	Erreur pendant l'envoi de l'invitation d'amitié : compte introuvable.
dialogmessages.addfriend.invitefailure	Erreur pendant l'envoi de l'invitation d'amitié.
dialogmessages.acceptfriend.failure	Erreur lors de l'acceptation de l'invitation d'amitié.
dialogmessages.cancelfriendrequest.failure	Erreur durant l'annulation d'une demande d'ami.
dialogmessages.removefriend.failure	Erreur lors de la suppression de l'ami(e).
dialogmessages.invitefriend.failure	Impossible d'envoyer l'invitation, veuillez réessayer plus tard.
disconnect.timeout	Connexion expirée
disconnect.idletimeout	
dialogmessages.changepassword.success	Votre mot de passe a été modifié avec succès.
dialogmessages.passwordpolicy	Votre mot de passe doit comporter au moins 6 caractères, une lettre majuscule et des lettres et des chiffres.
dialogmessages.login.errors.invalidlogin	E-mail ou mot de passe non valide.
dialogmessages.continuegame.failure	Impossible de se connecter au jeu. Erreur : {0}
disconnect.defaultreason	Connexion avec le serveur perdue
challenges.startgame	Commencer une partie
addfriend.addplayername	Player Name or Email
button.accept	
button.invite	Inviter
online.lobbypassword.enter	Indiquer mot de passe salon
button.exit	Sortir
settings.audio.mute	Muet
header.campaign	Campagne
game.over.prompt.confirm	Quitter la partie
settings.pc.graphics.high	Élevé
settings.pc.graphics.medium	Moyen
settings.pc.graphics.low	Bas
account.error.usernametaken	Le compte existe déjà
mainmenu.friends	Amis
settings.title	Réglages
friends.invite	Inviter
friends.removefriend	Retirer un ami
friends.game.invite.accept	Accepter
friends.game.invite.decline	Refuser
friends.cancelrequest	Annuler
button.next	Suivant
landing.grm	Lancer l'appli Game Room de Dire Wolf
settings.clientversion	Version du client :
settings.serverversion	Version du serveur :
button.saveandquit	Sauvegarder et quitter
settings.resign	Abandonner
landing.achievements.gc	Succès
button.mainmenu	Menu principal
button.replay	Rejouer
button.resign	Abandonner
lobby.resign.confirmation	Voulez-vous vraiment abandonner cette partie ?
player.unsetperson	En attente d'un joueur...
player.localperson	Vous
button.skip	Passer
dialogmessages.registration.nointernet	Pas de connexion à Internet
playonline.error.wrongpassword	Mot de passe incorrect
playonline.error.waitingoncasual	
playonline.error.cannotcreatelivegame	
playonline.error.cannotcreateasyncgame	
block.player	Bloquer le joueur
multiplayer.blockplayer	Bloquer {0} cachera ses messages. Cette action est irréversible.
multiplayer.reportplayer	{0} a été bloqué(e). Voulez-vous signaler ce joueur ?
multiplayer.reportplayer.describe	Veuillez expliquer pourquoi vous souhaitez signaler {0}.
multiplayer.reportplayer.reason.abusive	Messages abusifs ou inappropriés sur le chat
multiplayer.reportplayer.reason.inappropriateusername	Nom d'utilisateur inapproprié
multiplayer.reportplayer.reason.griefing	Comportement antijeu ou jeu volontairement lent
multiplayer.reportplayer.reason.cheating	Possible triche ou usage de bot
name.ai.easy	
name.ai.medium	
name.ai.hard	
button.createfriendgame	
playonline.yourturn	
multiplayer.yourturn.2	
mainmenu.friendgame	
button.invitefriend	
player.defaultname	
button.decline	
button.minimize	
button.expand	
multiplayer.matchchat	
multiplayer.variants	
prompt.unitdetails.title.monster	
prompt.unitdetails.title.player	
prompt.unitdetails.subheader	
trade.empty.player	
trade.empty.partner	
trade.theyget	
trade.iget	
sell.wontlevel	
sell.youritems	
sell.tosell	
sell.empty	
kin.level	
prompt.inventory.offertrade	
prompt.inventory.sellforlevel	
playmat.battle.askforhelp	
playmat.battle.runaway	
playmat.battle.failed	
playmat.battle.success	
prompt.avatarselection	
prompt.showowned	
prompt.sort	
card.type.class	Classe
card.type.race	Race
card.type.item	
card.type.item.big	
card.type.item.oneshot	
card.type.curse	Malédiction !
card.type.special	
card.type.monster	
card.type.monster.undead	Mort-vivant
card.type.monsterenhancer	
playmat.battle.win	
player.name.self	Vous
playonline.offplayer.label	Fermé
login.newaccount	Nouveau Compte
playonline.humanplayer.label	Ouvert
character.race.norace	
character.race.human	
character.race.dwarf	Nain
character.race.elf	Elfe
character.race.halfling	Halfelin
character.class.noclass	
character.class.none	
character.class.cleric	Prêtre
character.class.thief	Voleur
character.class.warrior	Guerrier
character.class.wizard	Magicien
button.emote	
placement.1st	
placement.2nd	
placement.3rd	
placement.4th	
placement.5th	
placement.6th	
button.done	
gen.one	
gen.two	
gen.three	
prompt.inventory.configure	
equip.armor	Armure
equip.headgear	Couvre-chef
equip.footgear	Chaussures
equip.onehand	1 main
equip.twohand	2 mains
equip.twohandbig	2 mains Gros
equip.oneshot	
prompt.tradeoffer.togive	
prompt.tradeoffer.toreceive	
prompt.tradeoffer.header	
prompt.tradecomplete.accepted	
prompt.tradecomplete.rejected	
sell.noitemstosell	
deck.door	
deck.treasure	
sex.male	
sex.female	
prompt.inventory.equipped	
prompt.inventory.carried	
prompt.inventory.inhand	
prompt.inventory.raceclass	
button.block	
prompt.unequip.header	
prompt.replaceclass.header	
prompt.replacerace.header	
prompt.lootthebody.header	
prompt.played	
prompt.readylivegame	Votre partie en direct est prête. Étant donné la durée limitée des tours, vous devez y aller immédiatement.
prompt.discard.header	
dragtarget.drophere	
dragtarget.usenow	
dragtarget.addundead	
prompt.stealcard.header	
prompt.choosecard.header	
prompt.chooseplayer.header	
prompt.choosemanyplayers.header	
prompt.killhireling.header	
prompt.choosediscardpile.header	
button.confirm	
emote.curses	
emote.incredible	
emote.help	
emote.unplanned	
emote.wellplayed	
emote.run	
prompt.general.or	
prompt.reportplayer.dropdown	Choisissez la raison du signalement
prompt.discarded	
prompt.gave	
prompt.stole	
button.distract	
kin.killnose	
button.wave	
button.scare	
button.bribe	
button.ignorefight	
prompt.cursed	
prompt.cheat.header	
button.reconnect	
match.askforhelp.failed	
playonline.error.cannotjoingame	
gameoptions.endturnjumpin	
prompt.title.tradedfor	
prompt.used	
button.mustaccept	
prompt.sold	
kin.deckshuffle.door	
kin.deckshuffle.treasure	
auto.update.body	Une mise à jour est disponible.
auto.update.body.forced	Une mise à jour est requise pour continuer.
auto.update.confirm	Mettre à jour
button.reject	
deck.door.top	
deck.treasure.top	
card.type.monster.baby	
card.type.monster.baby.undead	
prompt.looted	
dialogmessages.addfriend.inviteexists	Invitation déjà envoyée à cet utilisateur.
login.deleteaccountbutton	Supprimer le compte
deleteaccount.confirm.message	Voulez-vous vraiment supprimer votre compte ?
deleteaccount.complete.message	Consultez votre messagerie pour finaliser la suppression du compte.
deleteaccount.failed.message	Une erreur de réseau a empêché la suppression de votre compte. Veuillez réessayer plus tard.
playonline.error.gamefull	Cette partie est complète.
dialogmessages.continuegame.failure.gameended	
kin.combat.rewards.draft.pick	
equip.armorbig	
equip.onehandbig	
equip.slotlessbig	
multiplayer.gamecompleted.1	
multiplayer.gamecompleted.2	
multiplayer.gamecompleted.3	
multiplayer.gamecompleted.4	
multiplayer.gamecompleted.5	
multiplayer.gamecompleted.6	
prompt.gave.too.big	
kin.event.revived	
test.ops.key	
base.door.50de36e5-d3ba-4bd6-abe2-694c8f1c2d7e.name	Dragon de Plutonium
base.door.278b4940-f066-4019-a0e5-4f9a5cc09f0e.name	Mr. Nonos
base.door.51ae062a-ebff-11ec-8ea0-0242ac120002.name	Changement de Classe
base.door.2cdcfcbf-228b-46b9-851e-6d5ba05f8300.name	Changement de Race
base.door.171641c6-ba97-425c-8b65-9d5a04105a04.name	Changement de Sexe
base.door.1c9f4659-bc94-4904-ad2c-7cf9b733c88c.name	Poulet sur la Tête
base.door.4e2b9d92-2841-4ba8-ac42-8cfe1ab6b519.name	Canard de l’Apocalypse
base.door.c72b235c-c758-427e-a882-e21aa0a8d351.name	Impôt sur le Revenu
base.door.fd91affd-27ba-4d0c-88b3-bb4313c440cf.name	Grosse Perte
base.door.1c83481f-ed9e-4e3f-9d78-72e527693ff7.name	Perdez 1 niveau
base.door.217b04bf-e9b0-4878-b1cd-4f9122239913.name	Perdez 1 niveau
base.door.d6fd9095-d91a-42f3-9004-98181b10eaf0.name	Petite Perte
base.door.e9f354fb-0267-487b-a4dc-2709b65c870d.name	Petite Perte
base.door.4a26cc13-09e9-4366-97f3-70a176a6c9bc.name	
base.door.2df75f0c-19e7-42c4-b978-7d41a0042dde.name	
base.door.4d904b4c-d13a-4112-875a-35cfceaede54.name	
base.door.be74d2ee-5455-425d-93ea-dbb443ea778a.name	Perdez deux cartes
base.door.25b06508-10aa-43de-a3c7-24880b8afd72.name	Déclassé
base.door.d5183d93-4f22-4aa2-a6fb-bacb6fa1d33e.name	Commun des Mortels
base.door.e0be0f5f-0724-4d82-b577-c55ff5b74839.name	Miroir Perfide
base.door.b42aff04-6ff2-41c2-af92-637b283b8ea5.name	Vraiment Trop Injuste
base.door.2413c379-f721-42d6-aca8-e1fb7eb9011f.name	Prêtre
base.door.5705ed95-b87d-4cc0-9daf-f6382be734a8.name	Voleur
base.door.7ff31d6d-05bd-4b10-bae9-fe18ba7ea087.name	Guerrier
base.door.388e4af8-ba44-4715-9962-455838bfbe73.name	Magicien
base.door.b1cc599b-1ab0-4980-ad9a-f99882647fb0.name	Super Munchkin
base.door.ff722a55-5407-439d-b7af-57f633e0dbf3.name	Nain
