#_	_
button.back	Zurück
settings.gameplay.title	Gameplay
settings.video.resolution	Auflösung
tutorial.advanced.separator	Advanced Tutorials
button.newtag	NEU
gameoptions.timer.slow	Gelegenheitsspiel
gameoptions.timer.fast	Live
multiplayer.globalchat	Weltweiter Chat
button.account	Konto
login.title.change.user	Benutzer wechseln
changepassword.title	Passwort ändern
login.logoutbutton	Abmelden
friends.removefreind	
friends.addfriend	Freund Hinzufügen
friends.invitefriends.button	
friends.invitefriends.send	Senden
singleplayer.header.label	Herausforderungen
button.no	Nein
button.yes	Ja
prompt.continuesaved.desc	Du hast einen Spielstand gespeichert. Möchtest du das Spiel fortsetzen, oder löschen und ein neues Spiel beginnen?
prompt.continuesaved.title	Spiel fortsetzen
prompt.continuesaved.buttonnewgame	Neues Spiel
button.continue	Weiter
login.title.create.account	Konto erstellen
login.email	E-Mail-Adresse
createaccount.screenname	Nutzername
login.password	Passwort
createaccount.reenterpassword	Passwort erneut eingeben
button.cancel	Abbrechen
button.close	Schließen
direbytes.header	Dire Wolf News
direbytes.none	Keine Dire Wolf News
direbytes.link	Link
direbytes.store	Laden
button.commit	
button.submit	Absenden
settings.feedback	Feedback
settings.feedback.email.placeholder	E-Mail
settings.feedback.placeholder	Hier Problem eingeben. Gib bitte auch deine Partei und den Spielmodus an, falls diese relevant sind.
settings.feedback.send	Senden
settings.feedback.sendlogs	Protokoll senden
login.forgotpassword	Passwort Vergessen
login.forgotpassword.reset	Zurücksetzen
friends.title	Freunde
playonline.optionheader.password	Passwort
savedgames.joingame	Spiel beitreten
button.ok	Ok
button.tutorial	Tutorial
mainmenu.localplay	Lokales Spiel
mainmenu.onlineplay	Onlinespiel
button.shop	Laden
button.quit	Spiel beenden
mainmenu.leaderboards	Bestenlisten
leaderboards.friendsonly	Nur Freunde
prompt.leaderboard.score.label	
prompt.leaderboard.rank.label	Rang
prompt.leaderboard.name.label	Name
login.title.log.in	Anmelden
settings.login	Anmelden
login.create.account	Konto erstellen
changepassword.oldpassword	Altes Passwort
changepassword.newpassword	Neues Passwort
multiplayer.gotogame	Zu Spiel gehen
multiplayer.playonline	Online Spielen
multiplayer.showpasswordgames	Show Password Games
multiplayer.activetab	Aktiv
lobby.nogames.label	Keine Spiele
multiplayer.browsertab	Browser
multiplayer.columntimer	Zeit
multiplayer.columnname	Name
multiplayer.columnbanned	Gebannte
multiplayer.columnplayers	Spieler
gameoptions.creategame	Neues Spiel
gameoptions.startgame	Spiel starten
gameoptions.joingame	Spiel beitreten
button.rules	Regeln
settings.gen.title	Einstellungen
settings.video.title	Video
settings.audio.title	Audio
settings.pc.windowed	Fenstermodus
settings.pc.vsync	VSync
settings.video.quality	Qualität
settings.audio.musicvolume	Musiklautstärke
settings.audio.effectsvolume	Effektlautstärke
settings.languages	Sprachen
settings.eula	EULA
solooptions.singleplayer	Kampagne
solooptions.play	Vs. Ki
multiplayer.passandplay	Passen und Spielen
appirater.header	App bewerten
appirater.body	Gefällt dir Root? Nimm dir bitte einen Moment Zeit, um es zu bewerten.
appirater.ratebutton	App bewerten
appirater.remindbutton	Später erinnern
appirater.rejectbutton	Nein, danke
playonline.confirmresign	Bist du sicher, dass du dieses Spiel aufgeben willst?
settings.pc.confirmation.body	Willst du diese Anzeigeeinstellungen beibehalten? Sie werden in {0} Sekunden wieder rückgängig gemacht.
friends.category.invites	Einladungen
friends.category.online	Online
friends.category.offline	Offline
friends.category.count.label	({0})
store.restorepurchaseserror.default	
dialogmessages.resetpassword.info	Überprüfe deine E-Mail für weitere Anweisungen.
lobby.timerdisplay.hoursformat	{0} Std.
lobby.timerdisplay.minsformat	{0} Min.
lobby.timerdisplay.daysformat	{0} T.
playonline.cpuplayer.label	KI
playonline.waitingplayer.label	<color=#858585>Warten auf Spieler</color>
playonline.joinedplayer.label	<color=#FFFF00>{0}</color>
playonline.availablegames.game	{0}s Spiel
waitingforplayers.timer.label	Limit für Zugzeit: {0}
waitingforplayers.aidifficulty.label	Schwierigkeitsgrad der KI: {0}
gameoptions.aidifficultyeasy	Leicht
gameoptions.aidifficultymedium	Mittel
gameoptions.aidifficultyhard	Hart
waitingforplayers.invalideplayerstate	Ein Fehler ist aufgetreten. Bitte versuche es erneut.
dialogmessages.lobbyended.message	Deine angesehene Lobby existiert nicht mehr.
playsolo.match.startfailure	Spiel konnte nicht geladen werden.
prompts.gameresults.title	Spiel vorbei
dialogmessages.feedback.success	Danke für dein Feedback.
prompttitles.generic.success	Erfolg
singleplayer.difficulty.label	Schwierigkeitsgrad: {0}
singleplayer.difficulty.easy	
singleplayer.difficulty.medium	
singleplayer.difficulty.hard	
