#_	_
button.back	Indietro
settings.gameplay.title	Gameplay
settings.video.resolution	Risoluzione
tutorial.advanced.separator	Advanced Tutorials
button.newtag	NUOVO
gameoptions.timer.slow	Casuale
gameoptions.timer.fast	Diretta
multiplayer.globalchat	Chat globale
button.account	Account
login.title.change.user	Cambia utente
changepassword.title	Cambia password
login.logoutbutton	Esci
friends.removefreind	
friends.addfriend	Aggiungi Amico
friends.invitefriends.button	
friends.invitefriends.send	Invia
singleplayer.header.label	Sfide
button.no	No
button.yes	Sì
prompt.continuesaved.desc	C'è una partita salvata in corso. Vuoi continuare quella partita oppure cancellarla e iniziarne una nuova?
prompt.continuesaved.title	Continua partita
prompt.continuesaved.buttonnewgame	Nuova partita
button.continue	Continua
login.title.create.account	Crea account
login.email	Email
createaccount.screenname	Nome utente
login.password	Password
createaccount.reenterpassword	Reinserisci la password
button.cancel	Annulla
button.close	Chiudi
direbytes.header	Novità di Dire Wolf
direbytes.none	Nessuna novità di Direwolf
direbytes.link	
direbytes.store	
button.commit	
button.submit	Invia
settings.feedback	Opinione
settings.feedback.email.placeholder	Email
settings.feedback.placeholder	Scrivi qui il problema. Includi la tua fazione e la modalità di gioco quando possibile.
settings.feedback.send	Invia
settings.feedback.sendlogs	Invia log
login.forgotpassword	Password Dimenticata
login.forgotpassword.reset	Reimposta
friends.title	Amici
playonline.optionheader.password	Password
savedgames.joingame	Entra in partita
button.ok	Ok
button.tutorial	Tutorial
mainmenu.localplay	Partita locale
mainmenu.onlineplay	Partita online
button.shop	Negozio
button.quit	Abbandona partita
mainmenu.leaderboards	Classifiche
leaderboards.friendsonly	Solo amici
prompt.leaderboard.score.label	
prompt.leaderboard.rank.label	Rango
prompt.leaderboard.name.label	Nome
login.title.log.in	Accedi
settings.login	Accedi
login.create.account	Crea account
changepassword.oldpassword	Vecchia password
changepassword.newpassword	Nuova password
multiplayer.gotogame	Vai alla partita
multiplayer.playonline	Gioca Online
multiplayer.showpasswordgames	Show Password Games
multiplayer.activetab	Attivo
lobby.nogames.label	Nessuna partita
multiplayer.browsertab	In avanscoperta
multiplayer.columntimer	Tempo
multiplayer.columnname	Nome
multiplayer.columnbanned	Bannato
multiplayer.columnplayers	Giocatori
gameoptions.creategame	Crea Partita
gameoptions.startgame	Inizia partita
gameoptions.joingame	Entra in partita
button.rules	Regole
settings.gen.title	Impostazioni
settings.video.title	Video
settings.audio.title	Audio
settings.pc.windowed	Finestra
settings.pc.vsync	VSync
settings.video.quality	Qualità
settings.audio.musicvolume	Volume musica
settings.audio.effectsvolume	Volume suoni
settings.languages	Lingue
settings.eula	EULA
solooptions.singleplayer	Campagna
solooptions.play	Vs Ia
multiplayer.passandplay	Passa e Gioca
appirater.header	Valuta l'app
appirater.body	Ti piace Root? Prenditi un momento per valutarlo.
appirater.ratebutton	Valuta l'app
appirater.remindbutton	Ricordamelo più tardi
appirater.rejectbutton	No grazie
playonline.confirmresign	Vuoi davvero concedere la vittoria di questa partita?
settings.pc.confirmation.body	Vuoi mantenere queste impostazioni di visualizzazione? Ritorno alle impostazioni precedenti tra {0} secondi.
friends.category.invites	Inviti
friends.category.online	Online
friends.category.offline	Offline
friends.category.count.label	({0})
store.restorepurchaseserror.default	
