#_	_
button.back	戻る
settings.gameplay.title	Gameplay
settings.video.resolution	解像度
tutorial.advanced.separator	Advanced Tutorials
button.newtag	最新
gameoptions.timer.slow	カジュアル
gameoptions.timer.fast	ライブ
multiplayer.globalchat	グローバルチャット
button.account	アカウント
login.title.change.user	ユーザー変更
changepassword.title	パスワードを変更
login.logoutbutton	ログアウト
friends.removefreind	
friends.addfriend	友達を追加
friends.invitefriends.button	
friends.invitefriends.send	送信
singleplayer.header.label	チャレンジ
button.no	いいえ
button.yes	はい
prompt.continuesaved.desc	進行している保存済みのゲームがあります。そのゲームを続行しますか？それとも削除して新しく開始しますか？
prompt.continuesaved.title	ゲームを続行
prompt.continuesaved.buttonnewgame	新規ゲーム
button.continue	続行
login.title.create.account	アカウント作成
login.email	Eメール
createaccount.screenname	スクリーン名
login.password	パスワード
createaccount.reenterpassword	パスワードを再入力
button.cancel	キャンセル
button.close	閉じる
direbytes.header	Dire Wolfニュース
direbytes.none	DireWolfニュースなし
direbytes.link	リンク
direbytes.store	ストア
button.commit	
button.submit	送信
settings.feedback	フィードバック
settings.feedback.email.placeholder	Eメール
settings.feedback.placeholder	ここに問題を入力してください。該当する場合は、派閥とゲームモードも記載してください。
settings.feedback.send	送信
settings.feedback.sendlogs	ログの送信
login.forgotpassword	パスワードを忘れました
login.forgotpassword.reset	リセット
friends.title	友達
playonline.optionheader.password	パスワード
savedgames.joingame	ゲームに参加
button.ok	OK
button.tutorial	チュートリアル
mainmenu.localplay	ローカルプレイ
mainmenu.onlineplay	オンラインプレイ
button.shop	ショップ
button.quit	ゲームを終了
mainmenu.leaderboards	リーダーボード
leaderboards.friendsonly	友達限定
prompt.leaderboard.score.label	
prompt.leaderboard.rank.label	ランク
prompt.leaderboard.name.label	名前
login.title.log.in	ログイン
settings.login	ログイン
login.create.account	アカウント作成
changepassword.oldpassword	古いパスワード
changepassword.newpassword	新しいパスワード
multiplayer.gotogame	ゲームに進む
multiplayer.playonline	オンラインプレイ
multiplayer.showpasswordgames	パスワードゲームを表示
multiplayer.activetab	アクティブ
lobby.nogames.label	ゲームがありません
multiplayer.browsertab	ブラウザ
multiplayer.columntimer	タイマー
multiplayer.columnname	名前
multiplayer.columnbanned	禁止中
multiplayer.columnplayers	プレイヤー
gameoptions.creategame	ゲームを作成
gameoptions.startgame	ゲームを開始
gameoptions.joingame	ゲームに参加
button.rules	ルール
settings.gen.title	Settings
settings.video.title	ビデオ
settings.audio.title	オーディオ
settings.pc.windowed	ウインドウ付き
settings.pc.vsync	垂直同期
settings.video.quality	品質
settings.audio.musicvolume	音楽音量
settings.audio.effectsvolume	効果音音量
settings.languages	言語
settings.eula	EULA
solooptions.singleplayer	チャレンジ
solooptions.play	単独プレイ
multiplayer.passandplay	パスしてプレイ
appirater.header	アプリを評価する
appirater.body	『ルート』をお楽しみいただいていますか？ よければこのゲームの評価をお願いします。
appirater.ratebutton	アプリを評価する
appirater.remindbutton	後で
appirater.rejectbutton	結構です
playonline.confirmresign	本当にこの対戦から降りますか？
settings.pc.confirmation.body	このディスプレイ設定を維持しますか？{0}秒以内に元の設定に戻ります。
friends.category.invites	招待する
friends.category.online	オンライン
friends.category.offline	オフライン
friends.category.count.label	（{0}）
store.restorepurchaseserror.default	
dialogmessages.resetpassword.info	詳細な手順についてはEメールをご確認ください。
lobby.timerdisplay.hoursformat	{0}時間
lobby.timerdisplay.minsformat	{0}分
lobby.timerdisplay.daysformat	{0}日
playonline.cpuplayer.label	AI
playonline.waitingplayer.label	<color=#858585>プレイヤーを待っています</color>
playonline.joinedplayer.label	<color=#FFFF00>{0}</color>
playonline.availablegames.game	{0}のゲーム
waitingforplayers.timer.label	ターン制限時間：{0}
waitingforplayers.aidifficulty.label	AI難易度：{0}
gameoptions.aidifficultyeasy	簡単
gameoptions.aidifficultymedium	中
gameoptions.aidifficultyhard	難しい
waitingforplayers.invalideplayerstate	エラーが発生しました。もう一度お試しください。
dialogmessages.lobbyended.message	表示していたロビーは存在しません。
playsolo.match.startfailure	ゲームを読み込めませんでした。
prompts.gameresults.title	ゲームオーバー
dialogmessages.feedback.success	フィードバックをいただきありがとうございました。
prompttitles.generic.success	成功
singleplayer.difficulty.label	難易度：{0}
singleplayer.difficulty.easy	
singleplayer.difficulty.medium	
singleplayer.difficulty.hard	
quitapplication.confirm.message	本当に終了しますか？
login.loggedinas	ログインユーザー：{0}
friends.invitationsent	招待を送信しました！
friends.areyousure	本当によろしいですか？
dialogmessages.invitefriend.success	招待を送信しました！
login.error.invalidemail	エラー：Eメールが無効です
login.error.invalidusername	エラー：ユーザー名が無効です
login.error.invalidpassword	エラー：パスワードは最低6文字で、大文字を含み、さらに文字と数字を両方含む必要があります。
login.error.passwordmismatch	エラー：パスワードが一致しません
prompts.loginfailure.nocredentials	
prompts.loginfailure.eulanotaccepted	ログインするにはEULAに同意してください。
dialogmessages.login.errors.upgradeclient	ログインできません、クライアントが最新であることを確認してください
dialogmessages.login.errors.couldnotconnect	認証サーバーに接続できません。後でもう一度お試しください。
dialogmessages.login.errors.gatewaydown	ゲートウェイに接続できません。
dialogmessages.login.errors.ipbanned	このIPに接続できません。
dialogmessages.login.errors.maintenance	接続できません、サーバーはメンテナンス中です。
dialogmessages.login.errors.serverfull	接続できません、現在サーバーは満員です。
network.checkconnection	ネットワーク接続をご確認ください。
dialogmessages.login.errors.default	現在ログインできません。
dialogmessages.registration.thanksnewaccount	登録していただき、ありがとうございます！
dialogmessages.registration.toomanyrequests	リクエストが多すぎます、15分後にもう一度お試しください。
dialogmessages.registration.authunavailable	認証サーバーに接続できません。後でもう一度お試しください。
dialogmessages.registration.failure	アカウントを作成できませんでした:
 {0}
code.redeem.equip.immediate	
dialogmessages.continuegame.playeractivationfailure	
match.start.failure	対戦を読み込めませんでした
multiplayer.matchremoved	この対戦はもう存在しません。
multiplayer.matchresigned.2	あなたは{0}との対戦から降ろされました。
multiplayer.matchresigned.3	あなたは{0}と{1}との対戦から降ろされました。
multiplayer.matchresigned.4	あなたは{0}、{1}そして{2}との対戦から降ろされました。
multiplayer.matchresigned.5	
multiplayer.matchresigned.6	
dialogmessages.resignfromgame.failure	ゲームを降りることができません。ネットワーク接続をご確認ください。
rankedselect.errors.connectfailed	接続がタイムアウトしました。インターネット接続を確認してもう一度お試しください。
dialogmessages.feedback.timeout	フィードバックの送信時にエラーが発生しました。
dialogmessages.leaderboard.failure	スコアボードを取得することができませんでした。
dialogmessages.addfriend.accountnotfound	友達招待の送信エラー：アカウントが見つかりません。
dialogmessages.addfriend.invitefailure	友達招待の送信でエラーが発生しました。
dialogmessages.acceptfriend.failure	友達招待の承認でエラーが発生しました。
dialogmessages.cancelfriendrequest.failure	友達リクエストのキャンセルでエラーが発生しました。
dialogmessages.removefriend.failure	友達の削除でエラーが発生しました。
dialogmessages.invitefriend.failure	招待を送信できません。後でもう一度お試しください。
disconnect.timeout	接続タイムアウト
disconnect.idletimeout	
dialogmessages.changepassword.success	パスワードの変更に成功しました。
dialogmessages.passwordpolicy	パスワードは最低6文字で、大文字を含み、さらに文字と数字を両方含む必要があります。
dialogmessages.login.errors.invalidlogin	Invalid email or password.
dialogmessages.continuegame.failure	ゲームに接続できません。エラー：{0}
disconnect.defaultreason	サーバーへの接続が失われました
challenges.startgame	Start Game
addfriend.addplayername	Player Name or Email
button.accept	
button.invite	Invite
online.lobbypassword.enter	Enter Lobby Password
button.exit	Exit
settings.audio.mute	Mute
header.campaign	Campaign
game.over.prompt.confirm	ゲームから離れる
settings.pc.graphics.high	高
settings.pc.graphics.medium	中
settings.pc.graphics.low	低
account.error.usernametaken	既存のアカウントです
mainmenu.friends	友達
settings.title	設定
friends.invite	招待する
friends.removefriend	友達を削除
friends.game.invite.accept	Accept
friends.game.invite.decline	Decline
friends.cancelrequest	Cancel
button.next	Next
landing.grm	Open Dire Wolf Game Room App
settings.clientversion	Client Version:
settings.serverversion	Server Version:
button.saveandquit	Save and Exit
settings.resign	Resign
landing.achievements.gc	Achievements
button.mainmenu	Main Menu
button.replay	Replay
button.resign	降りる
lobby.resign.confirmation	Are you sure you want to resign from this match?
player.unsetperson	Waiting for player...
player.localperson	You
button.skip	Skip
dialogmessages.registration.nointernet	No Internet Access
playonline.error.wrongpassword	Password Incorrect
playonline.error.waitingoncasual	
playonline.error.cannotcreatelivegame	
playonline.error.cannotcreateasyncgame	
block.player	プレイヤーをブロック
multiplayer.blockplayer	{0}をブロックすると、この人からのメッセージが非表示になります。このアクションは取り消せません。
multiplayer.reportplayer	{0}がブロックされました。このプレイヤーを通報しますか？
multiplayer.reportplayer.describe	{0}を通報する理由を説明してください。
multiplayer.reportplayer.reason.abusive	中傷または不適切なチャットメッセージ
multiplayer.reportplayer.reason.inappropriateusername	不適切なユーザー名
multiplayer.reportplayer.reason.griefing	嫌がらせまたは意図的な遅延プレイ
multiplayer.reportplayer.reason.cheating	チートの疑い、またはボット
name.ai.easy	
name.ai.medium	
name.ai.hard	
button.createfriendgame	
playonline.yourturn	
multiplayer.yourturn.2	
mainmenu.friendgame	
button.invitefriend	
player.defaultname	
button.decline	
button.minimize	
button.expand	
multiplayer.matchchat	
multiplayer.variants	
prompt.unitdetails.title.monster	
prompt.unitdetails.title.player	
prompt.unitdetails.subheader	
trade.empty.player	
trade.empty.partner	
trade.theyget	
trade.iget	
sell.wontlevel	
sell.youritems	
sell.tosell	
sell.empty	
kin.level	
prompt.inventory.offertrade	
prompt.inventory.sellforlevel	
playmat.battle.askforhelp	
playmat.battle.runaway	
playmat.battle.failed	
playmat.battle.success	
prompt.avatarselection	
prompt.showowned	
prompt.sort	
card.type.class	
card.type.race	
card.type.item	
card.type.item.big	
card.type.item.oneshot	
card.type.curse	
card.type.special	
card.type.monster	
card.type.monster.undead	
card.type.monsterenhancer	
playmat.battle.win	
player.name.self	あなた
playonline.offplayer.label	閉じる
login.newaccount	新規アカウント
playonline.humanplayer.label	開く
character.race.norace	
character.race.human	
character.race.dwarf	
character.race.elf	
character.race.halfling	
character.class.noclass	
character.class.none	
character.class.cleric	
character.class.thief	
character.class.warrior	
character.class.wizard	
button.emote	
placement.1st	
placement.2nd	
placement.3rd	
placement.4th	
placement.5th	
placement.6th	
button.done	
gen.one	
gen.two	
gen.three	
prompt.inventory.configure	
equip.armor	
equip.headgear	
equip.footgear	
equip.onehand	
equip.twohand	
equip.twohandbig	
equip.oneshot	
prompt.tradeoffer.togive	
prompt.tradeoffer.toreceive	
prompt.tradeoffer.header	
prompt.tradecomplete.accepted	
prompt.tradecomplete.rejected	
sell.noitemstosell	
deck.door	
deck.treasure	
sex.male	
sex.female	
prompt.inventory.equipped	
prompt.inventory.carried	
prompt.inventory.inhand	
prompt.inventory.raceclass	
button.block	
prompt.unequip.header	
