#_	_
button.back	Wstecz
settings.gameplay.title	Gameplay
settings.video.resolution	Rozdzielczość
tutorial.advanced.separator	Advanced Tutorials
button.newtag	NOWOŚĆ
gameoptions.timer.slow	Casualowe
gameoptions.timer.fast	Na żywo
multiplayer.globalchat	Globalny czat
button.account	Konto
login.title.change.user	Zmień użytkownika
changepassword.title	Zmień hasło
login.logoutbutton	Wyloguj się
friends.removefreind	
friends.addfriend	Dodaj znajomego
friends.invitefriends.button	
friends.invitefriends.send	Wyślij
singleplayer.header.label	Wyzwania
button.no	Nie
button.yes	Tak
prompt.continuesaved.desc	Masz zapisaną grę w toku. Czy chcesz kontynuować ją, czy usunąć grę i rozpocząć nową?
prompt.continuesaved.title	Kontynuuj grę
prompt.continuesaved.buttonnewgame	Nowa gra
button.continue	Kontynuuj
login.title.create.account	Utwórz konto
login.email	E-mail
createaccount.screenname	Pseudonim
login.password	Hasło
createaccount.reenterpassword	Wprowadź hasło ponownie
button.cancel	Anuluj
button.close	Zamknij
direbytes.header	Aktualności Dire Wolf
direbytes.none	Brak aktualności Direwolf
direbytes.link	Połącz
direbytes.store	Sklep
button.commit	
button.submit	Prześlij
settings.feedback	Opinie
settings.feedback.email.placeholder	E-mail
settings.feedback.placeholder	Opisz problem, wskazując swoją frakcję i tryb gry, jeżeli dotyczy.
settings.feedback.send	Wyślij
settings.feedback.sendlogs	Wysyłaj dzienniki
login.forgotpassword	Nie pamiętam hasła
login.forgotpassword.reset	Resetuj
friends.title	Znajomi
playonline.optionheader.password	Hasło
savedgames.joingame	Dołącz do gry
button.ok	OK
button.tutorial	Samouczek
mainmenu.localplay	Gra lokalna
mainmenu.onlineplay	Gra online
button.shop	Sklep
button.quit	Wyjdź z gry
mainmenu.leaderboards	Tablice wyników
leaderboards.friendsonly	Tylko znajomi
prompt.leaderboard.score.label	
prompt.leaderboard.rank.label	Ranga
prompt.leaderboard.name.label	Nazwa
login.title.log.in	Logowanie
settings.login	Logowanie
login.create.account	Utwórz konto
changepassword.oldpassword	Stare hasło
changepassword.newpassword	Nowe hasło
multiplayer.gotogame	Przejdź do gry
multiplayer.playonline	Gra online
multiplayer.showpasswordgames	Pokaż gry chronione hasłem
multiplayer.activetab	Aktywn.
lobby.nogames.label	Brak gier
multiplayer.browsertab	Przeglądarka
multiplayer.columntimer	Licznik czasu
multiplayer.columnname	Nazwa
multiplayer.columnbanned	Zablokowano
multiplayer.columnplayers	Gracze
gameoptions.creategame	Utwórz grę
gameoptions.startgame	Rozpocznij grę
gameoptions.joingame	Dołącz do gry
button.rules	Zasady
settings.gen.title	Settings
settings.video.title	Obraz
settings.audio.title	Dźwięk
settings.pc.windowed	Tryb okienkowy
settings.pc.vsync	Synchronizacja pionowa
settings.video.quality	Poziom jakości
settings.audio.musicvolume	Głośność muzyki
settings.audio.effectsvolume	Głośność efektów dźwiękowych
settings.languages	Języki
settings.eula	Umowa licencyjna użytkownika końcowego
solooptions.singleplayer	Wyzwania
solooptions.play	Tryb dla pojedynczego gracza
multiplayer.passandplay	Lokalny tryb wieloosobowy
appirater.header	Oceń aplikację
appirater.body	Podoba ci się Root? Poświęć chwilę, aby ocenić grę.
appirater.ratebutton	Oceń aplikację
appirater.remindbutton	Przypomnij później
appirater.rejectbutton	Nie, dziękuję
playonline.confirmresign	Czy na pewno chcesz zrezygnować z udziału w tym meczu?
settings.pc.confirmation.body	Czy chcesz zachować te ustawienia wyświetlacza? Poprzednie ustawienia zostaną przywrócone za {0} s.
friends.category.invites	Zaproszenia
friends.category.online	Online
friends.category.offline	Offline
friends.category.count.label	({0})
store.restorepurchaseserror.default	
