#_	_
button.back	Назад
settings.gameplay.title	Gameplay
settings.video.resolution	Разрешение
tutorial.advanced.separator	Advanced Tutorials
button.newtag	НОВОЕ
gameoptions.timer.slow	Свободная
gameoptions.timer.fast	В реальном времени
multiplayer.globalchat	Общий чат
button.account	Учетная запись
login.title.change.user	Смена пользователя
changepassword.title	Изменить пароль
login.logoutbutton	Выход
friends.removefreind	
friends.addfriend	Добавить друга
friends.invitefriends.button	
friends.invitefriends.send	Отправить
singleplayer.header.label	Испытания
button.no	Нет
button.yes	Да
prompt.continuesaved.desc	Вы сохранили незаконченную игру. Продолжить ее или удалить и начать новую?
prompt.continuesaved.title	Продолжить игру
prompt.continuesaved.buttonnewgame	Новая игра
button.continue	Продолжить
login.title.create.account	Создать учетную запись
login.email	Электронная почта
createaccount.screenname	Экранное имя
login.password	Пароль
createaccount.reenterpassword	Введите пароль еще раз
button.cancel	Отмена
button.close	Закрыть
direbytes.header	Новости Dire Wolf
direbytes.none	Не получать новости Direwolf
direbytes.link	
direbytes.store	
button.commit	
button.submit	Отправить
settings.feedback	Обратная связь
settings.feedback.email.placeholder	Электронная почта
settings.feedback.placeholder	Опишите проблему здесь. При необходимости укажите фракцию и игровой режим.
settings.feedback.send	Отправить
settings.feedback.sendlogs	Отправить журналы
login.forgotpassword	Забыли пароль?
login.forgotpassword.reset	Сбросить
friends.title	Друзья
playonline.optionheader.password	Пароль
savedgames.joingame	Войти в игру
button.ok	Ок
button.tutorial	Обучение
mainmenu.localplay	Локальная игра
mainmenu.onlineplay	Сетевая игра
button.shop	Магазин
button.quit	Выйти из игры
mainmenu.leaderboards	Лучшие результаты
leaderboards.friendsonly	Только друзья
prompt.leaderboard.score.label	
prompt.leaderboard.rank.label	Ранг
prompt.leaderboard.name.label	Имя
login.title.log.in	Вход
settings.login	Вход
login.create.account	Создать учетную запись
changepassword.oldpassword	Старый пароль
changepassword.newpassword	Новый пароль
multiplayer.gotogame	Перейти к игре
multiplayer.playonline	Сетевая игра
multiplayer.showpasswordgames	Показать игры с паролем
multiplayer.activetab	Активные
lobby.nogames.label	Нет игр
multiplayer.browsertab	Обозреватель
multiplayer.columntimer	Таймер
multiplayer.columnname	Имя
multiplayer.columnbanned	Запрещены
multiplayer.columnplayers	Игроки
gameoptions.creategame	Создать игру
gameoptions.startgame	Начать игру
gameoptions.joingame	Войти в игру
button.rules	Правила
settings.gen.title	Settings
settings.video.title	Видео
settings.audio.title	Звук
settings.pc.windowed	Окна
settings.pc.vsync	Вертикальная синхронизация
settings.video.quality	Качество
settings.audio.musicvolume	Громкость музыки
settings.audio.effectsvolume	Громкость эффектов
settings.languages	Языки
settings.eula	Лицензионное соглашение
solooptions.singleplayer	Испытания
solooptions.play	Одиночная игра
multiplayer.passandplay	Игра на одном устройстве
appirater.header	Оценить приложение
appirater.body	Вам нравится Root? Не могли бы вы поставить игре оценку?
appirater.ratebutton	Оценить приложение
appirater.remindbutton	Напомнить позже
appirater.rejectbutton	Нет, спасибо
playonline.confirmresign	Вы действительно хотите сдаться в этом матче?
settings.pc.confirmation.body	Сохранить настройки экрана? Возврат к прежним настройкам через {0} с.
friends.category.invites	Приглашения
friends.category.online	В сети
friends.category.offline	Не в сети
friends.category.count.label	({0})
store.restorepurchaseserror.default	
dialogmessages.resetpassword.info	Дальнейшие инструкции будут отправлены на электронную почту.
lobby.timerdisplay.hoursformat	{0} ч
lobby.timerdisplay.minsformat	{0} мин.
lobby.timerdisplay.daysformat	{0} д.
playonline.cpuplayer.label	ИИ
playonline.waitingplayer.label	<color=#858585>Ожидание игрока</color>
playonline.joinedplayer.label	<color=#FFFF00>{0}</color>
playonline.availablegames.game	Игра пользователя {0}
waitingforplayers.timer.label	Ограничение по времени для хода: {0}
waitingforplayers.aidifficulty.label	Сложность ИИ: {0}
gameoptions.aidifficultyeasy	Прост.
gameoptions.aidifficultymedium	Средн.
gameoptions.aidifficultyhard	Сложн.
waitingforplayers.invalideplayerstate	Ошибка. Повторите попытку.
dialogmessages.lobbyended.message	Лобби, которое вы просматривали, больше не существует.
playsolo.match.startfailure	Не удалось загрузить игру.
prompts.gameresults.title	Конец игры
dialogmessages.feedback.success	Благодарим за сообщение.
prompttitles.generic.success	Успех
singleplayer.difficulty.label	Сложность: {0}
singleplayer.difficulty.easy	
singleplayer.difficulty.medium	
singleplayer.difficulty.hard	
quitapplication.confirm.message	Вы действительно ходите выйти?
login.loggedinas	Вы вошли в игру как {0}
friends.invitationsent	Приглашение отправлено!
friends.areyousure	Точно?
dialogmessages.invitefriend.success	Приглашение отправлено!
login.error.invalidemail	Ошибка: недействительная электронная почта
login.error.invalidusername	Ошибка: недействительное имя пользователя
