#_	_
button.back	返回
settings.gameplay.title	Gameplay
settings.video.resolution	分辨率
tutorial.advanced.separator	Advanced Tutorials
button.newtag	新！
gameoptions.timer.slow	非同步
gameoptions.timer.fast	实时
multiplayer.globalchat	全球聊天
button.account	账户
login.title.change.user	变更用户
changepassword.title	修改密码
login.logoutbutton	退出登录
friends.removefreind	
friends.addfriend	添加好友
friends.invitefriends.button	
friends.invitefriends.send	发送
singleplayer.header.label	挑战
button.no	否
button.yes	是
prompt.continuesaved.desc	你有已经保存的游戏进度。你想要继续此进度，还是删除并开始新游戏？
prompt.continuesaved.title	继续游戏
prompt.continuesaved.buttonnewgame	新游戏
button.continue	继续游戏
login.title.create.account	创建账户
login.email	邮箱
createaccount.screenname	昵称
login.password	密码
createaccount.reenterpassword	重新输入密码
button.cancel	取消
button.close	关闭
direbytes.header	Dire Wolf 游戏资讯
direbytes.none	没有Direwolf的新闻
direbytes.link	
direbytes.store	
button.commit	
button.submit	提交
settings.feedback	提交反馈
settings.feedback.email.placeholder	邮件
settings.feedback.placeholder	在此输入信息。请包含涉及到的具体阵营和游戏模式。
settings.feedback.send	发送
settings.feedback.sendlogs	发送日志
login.forgotpassword	忘记密码
login.forgotpassword.reset	重置
friends.title	好友
playonline.optionheader.password	密码
savedgames.joingame	加入游戏
button.ok	确定
button.tutorial	新手教程
mainmenu.localplay	本地游戏
mainmenu.onlineplay	线上游戏
button.shop	商店
button.quit	退出游戏
mainmenu.leaderboards	排行榜
leaderboards.friendsonly	仅好友
prompt.leaderboard.score.label	
prompt.leaderboard.rank.label	等级
prompt.leaderboard.name.label	名字
login.title.log.in	登录
settings.login	登录
login.create.account	创建账户
changepassword.oldpassword	旧密码
changepassword.newpassword	新密码
multiplayer.gotogame	进入游戏
multiplayer.playonline	在线游戏
multiplayer.showpasswordgames	显示加密的房间
multiplayer.activetab	活跃中
lobby.nogames.label	没有游戏
multiplayer.browsertab	浏览器
multiplayer.columntimer	计时器
multiplayer.columnname	名字
multiplayer.columnbanned	禁用
multiplayer.columnplayers	玩家
gameoptions.creategame	创建游戏
gameoptions.startgame	开始游戏
gameoptions.joingame	加入游戏
button.rules	游戏规则
settings.gen.title	Settings
settings.video.title	视频
settings.audio.title	音频
settings.pc.windowed	窗口化
settings.pc.vsync	垂直同步
settings.video.quality	质量
settings.audio.musicvolume	音乐音量
settings.audio.effectsvolume	音效音量
settings.languages	语言
settings.eula	最终用户许可协议
solooptions.singleplayer	挑战
solooptions.play	单人游戏
multiplayer.passandplay	本地多人游戏
appirater.header	给APP评分
appirater.body	喜欢《茂林源记》吗？请给我们打个分吧！
appirater.ratebutton	给APP评分
appirater.remindbutton	以后提醒我
appirater.rejectbutton	不，谢谢
playonline.confirmresign	你确定要投降吗？
settings.pc.confirmation.body	你想要保留这些显示设置吗？在{0}秒后还原为先前设置。
friends.category.invites	邀请
friends.category.online	在线
friends.category.offline	离线
friends.category.count.label	({0})
store.restorepurchaseserror.default	
dialogmessages.resetpassword.info	请查看邮件以获得进一步的指示。
lobby.timerdisplay.hoursformat	{0}小时
lobby.timerdisplay.minsformat	{0}分钟
lobby.timerdisplay.daysformat	{0}天
playonline.cpuplayer.label	电脑
playonline.waitingplayer.label	<color=#858585>等待玩家</color>
playonline.joinedplayer.label	<color=#FFFF00>{0}</color>
playonline.availablegames.game	{0}的游戏
waitingforplayers.timer.label	回合时间限制：{0}
waitingforplayers.aidifficulty.label	电脑难度：{0}
gameoptions.aidifficultyeasy	简单
gameoptions.aidifficultymedium	中等
gameoptions.aidifficultyhard	困难
waitingforplayers.invalideplayerstate	发生了一个错误，请重试。
dialogmessages.lobbyended.message	你目前浏览的游戏大厅已经不存在。
playsolo.match.startfailure	无法读取游戏。
prompts.gameresults.title	游戏结束
dialogmessages.feedback.success	感谢您的反馈。
prompttitles.generic.success	成功
singleplayer.difficulty.label	难度：{0}
singleplayer.difficulty.easy	
singleplayer.difficulty.medium	
singleplayer.difficulty.hard	
quitapplication.confirm.message	你确定要退出游戏吗？
login.loggedinas	当前帐号：{0}
friends.invitationsent	邀请已发送！
friends.areyousure	你确定吗？
dialogmessages.invitefriend.success	邀请已发送！
login.error.invalidemail	错误：无效的邮箱地址
login.error.invalidusername	错误：无效的用户名
login.error.invalidpassword	错误：密码至少为6位，且同时包含字母与数字。
login.error.passwordmismatch	错误：两次密码输入不匹配
prompts.loginfailure.nocredentials	
prompts.loginfailure.eulanotaccepted	请在接受最终用户许可协议后登录。
dialogmessages.login.errors.upgradeclient	无法登录，请确认客户端更新到了最新版本。
dialogmessages.login.errors.couldnotconnect	无法连接到认证服务器，请稍后重试。
dialogmessages.login.errors.gatewaydown	无法连接到网关。
dialogmessages.login.errors.ipbanned	本机IP无法连接。
dialogmessages.login.errors.maintenance	无法连接，服务器正在维护。
dialogmessages.login.errors.serverfull	无法连接，服务器已满。
network.checkconnection	请检查网络连接。
dialogmessages.login.errors.default	暂时无法登录。
dialogmessages.registration.thanksnewaccount	感谢注册！
dialogmessages.registration.toomanyrequests	您发起了太多的请求，请在15分钟后重试。
dialogmessages.registration.authunavailable	无法连接到认证服务器，请稍后重试。
dialogmessages.registration.failure	无法创建账户：
{0}
