#_	_
button.back	Atrás
settings.gameplay.title	Juego
settings.video.resolution	Resolución
tutorial.advanced.separator	Advanced Tutorials
button.newtag	NUEVA
gameoptions.timer.slow	Casual
gameoptions.timer.fast	En Línea
multiplayer.globalchat	Chat global
button.account	Cuenta
login.title.change.user	Cambiar de usuario
changepassword.title	Cambiar contraseña
login.logoutbutton	Salir
friends.removefreind	
friends.addfriend	Añadir Amigo
friends.invitefriends.button	
friends.invitefriends.send	Enviar
singleplayer.header.label	Desafíos
button.no	No
button.yes	Sí
prompt.continuesaved.desc	Tienes una partida guardada en curso. ¿Quieres continuar con esa partida o eliminarla y empezar una nueva?
prompt.continuesaved.title	Continuar partida
prompt.continuesaved.buttonnewgame	Nueva partida
button.continue	Continuar
login.title.create.account	Crear cuenta
login.email	Correo electrónico
createaccount.screenname	Nombre en el juego
login.password	Contraseña
createaccount.reenterpassword	Vuelve a introducir la contraseña
button.cancel	Cancelar
button.close	Cerrar
direbytes.header	Noticias de Dire Wolf
direbytes.none	No hay novedades de Direwolf
direbytes.link	Enlace
direbytes.store	Tienda
button.commit	
button.submit	Enviar
settings.feedback	Opiniones
settings.feedback.email.placeholder	Correo
settings.feedback.placeholder	Escribe aquí el problema. Incluye tu facción y modo de juego, si procede.
settings.feedback.send	Enviar
settings.feedback.sendlogs	Enviar registros
login.forgotpassword	He Olvidado Mi Contraseña
login.forgotpassword.reset	Restablecer
friends.title	Amigos
playonline.optionheader.password	Contraseña
savedgames.joingame	Unirse
button.ok	Vale
button.tutorial	Tutorial
mainmenu.localplay	Partida local
mainmenu.onlineplay	Partida en línea
button.shop	Tienda
button.quit	Salir del juego
mainmenu.leaderboards	Clasificación
leaderboards.friendsonly	Solo amigos
prompt.leaderboard.score.label	
prompt.leaderboard.rank.label	Rango
prompt.leaderboard.name.label	Nombre
login.title.log.in	Iniciar sesión
settings.login	Iniciar Sesión
login.create.account	Crear cuenta
changepassword.oldpassword	Contraseña antigua
changepassword.newpassword	Contraseña nueva
multiplayer.gotogame	Ir a la partida
multiplayer.playonline	En Línea
multiplayer.showpasswordgames	Show Password Games
multiplayer.activetab	Activo
lobby.nogames.label	No hay partidas
multiplayer.browsertab	Buscador
multiplayer.columntimer	Temporizador
multiplayer.columnname	Nombre
multiplayer.columnbanned	Expulsado
multiplayer.columnplayers	Jugadores
gameoptions.creategame	Crear Partida
gameoptions.startgame	Empezar
gameoptions.joingame	Unirse
button.rules	Reglas
settings.gen.title	Ajustes
settings.video.title	Imagen
settings.audio.title	Sonido
settings.pc.windowed	Modo ventana
settings.pc.vsync	VSync
settings.video.quality	Calidad
settings.audio.musicvolume	Volumen de la música
settings.audio.effectsvolume	Volumen de efectos
settings.languages	Idiomas
settings.eula	CLUF
solooptions.singleplayer	Campaña
solooptions.play	Contra Ia
multiplayer.passandplay	Pasar y Jugar
appirater.header	Valorar la aplicación
appirater.body	¿Te gusta Root? Por favor, tómate un minuto para puntuarnos.
appirater.ratebutton	Valorar la aplicación
appirater.remindbutton	Recordármelo más tarde
appirater.rejectbutton	No, gracias.
playonline.confirmresign	¿Seguro que quieres abandonar esta partida?
settings.pc.confirmation.body	¿Quieres mantener estos ajustes de visualización? Se volverá a los ajustes anteriores en {0} segundos.
friends.category.invites	Invitaciones
friends.category.online	Conectado
friends.category.offline	Desconectado
friends.category.count.label	({0})
store.restorepurchaseserror.default	
dialogmessages.resetpassword.info	Comprueba tu correo electrónico para ver más instrucciones.
lobby.timerdisplay.hoursformat	{0} h
lobby.timerdisplay.minsformat	{0} m
lobby.timerdisplay.daysformat	{0} d
playonline.cpuplayer.label	IA
playonline.waitingplayer.label	<color=#858585>Esperando al jugador</color>
playonline.joinedplayer.label	<color=#FFFF00>{0}</color>
playonline.availablegames.game	Juego de {0}
waitingforplayers.timer.label	Límite de tiempo del turno: {0}
waitingforplayers.aidifficulty.label	Dificultad de la IA: {0}
gameoptions.aidifficultyeasy	Fácil
gameoptions.aidifficultymedium	Medio
gameoptions.aidifficultyhard	Difícil
waitingforplayers.invalideplayerstate	Ha ocurrido un error. Inténtalo de nuevo.
dialogmessages.lobbyended.message	La sala que estabas viendo ya no existe.
playsolo.match.startfailure	No se ha podido cargar la partida.
prompts.gameresults.title	Fin del juego
dialogmessages.feedback.success	Gracias por tus comentarios.
prompttitles.generic.success	Éxito
singleplayer.difficulty.label	Dificultad: {0}
singleplayer.difficulty.easy	
singleplayer.difficulty.medium	
singleplayer.difficulty.hard	
quitapplication.confirm.message	¿Seguro que quieres salir?
login.loggedinas	Sesión iniciada como: {0}
friends.invitationsent	¡Invitación enviada!
friends.areyousure	¿Seguro?
dialogmessages.invitefriend.success	¡Invitación enviada!
login.error.invalidemail	Error: correo electrónico no válido
login.error.invalidusername	Error: nombre de usuario no válido
login.error.invalidpassword	Error: tu contraseña debe contener al menos 6 caracteres y tanto letras como números.
login.error.passwordmismatch	Error: las contraseñas no coinciden.
prompts.loginfailure.nocredentials	
prompts.loginfailure.eulanotaccepted	Acepta el Acuerdo de Licencia con el Usuario Final para iniciar sesión.
dialogmessages.login.errors.upgradeclient	No es posible iniciar sesión, comprueba que el juego está actualizado a la última versión.
dialogmessages.login.errors.couldnotconnect	No se ha podido conectar con el servidor de autorizaciones, inténtalo más tarde.
dialogmessages.login.errors.gatewaydown	No se ha podido conectar con la puerta de enlace.
dialogmessages.login.errors.ipbanned	No se ha podido conectar desde esta dirección IP.
dialogmessages.login.errors.maintenance	No se ha podido conectar, el servidor está en mantenimiento.
dialogmessages.login.errors.serverfull	No se ha podido conectar, los servidores están llenos en este momento.
network.checkconnection	Comprueba tu conexión a la red.
dialogmessages.login.errors.default	No se ha podido iniciar sesión en este momento.
dialogmessages.registration.thanksnewaccount	¡Gracias por registrarte!
dialogmessages.registration.toomanyrequests	Demasiadas solicitudes, inténtalo de nuevo en 15 minutos.
dialogmessages.registration.authunavailable	No se ha podido conectar con el servidor de autorizaciones, inténtalo más tarde.
dialogmessages.registration.failure	No se ha podido crear la cuenta:
 {0}
code.redeem.equip.immediate	
dialogmessages.continuegame.playeractivationfailure	
match.start.failure	No se ha podido cargar la partida
multiplayer.matchremoved	Este partido ya no existe.
multiplayer.matchresigned.2	Has abandonado tu partida con {0}.
multiplayer.matchresigned.3	Has abandonado tu partida con {0} y {1}.
multiplayer.matchresigned.4	Has abandonado tu partida con {0}, {1} y {2}.
multiplayer.matchresigned.5	
multiplayer.matchresigned.6	
